"college_names","college_zipcodes","college_latitudes","college_longitudes","college_admission_rates","college_STEM_degrees","college_in_state_cost","college_out_state_cost","public_avg_cost_25","public_avg_cost_50","public_avg_cost_75","public_avg_cost_100","public_avg_cost_rest","private_avg_cost_25","private_avg_cost_50","private_avg_cost_75","private_avg_cost_100","private_avg_cost_rest","title_4_public","title_4_private","faculty_salary","median_grad_debt","household_income","grad_income_10th.2","grad_income_25th.2","grad_income_75th.2","grad_income_90th.2","grad_income_10th.6","grad_income_25th.6","grad_income_75th.6","grad_income_90th.6"
"Alabama A & M University",35762,34.783368,-86.568502,0.6538,0.0587,9366,17136,13075,12458,15857,16022,14646,NA,NA,NA,NA,NA,743,NA,7017,35000,49720.22,4500,13800,35300,51400,6700,17200,45100,70000
"University of Alabama at Birmingham",NA,33.50223,-86.80917,0.6043,0,7766,17654,13614,14746,17601,18873,18482,NA,NA,NA,NA,NA,955,NA,10221,21500,55735.22,9700,20600,49500,66200,10900,24900,57600,84000
"Amridge University",NA,32.362609,-86.17401,NA,0,6900,6900,NA,NA,NA,NA,NA,8453,12133,NA,NA,NA,NA,9,3217,23000,53683.7,7300,18500,50900,75400,6800,22900,59900,79500
"University of Alabama in Huntsville",35899,34.722818,-86.63842,0.812,0,9128,20622,15252,17228,19178,20842,20848,NA,NA,NA,NA,NA,331,NA,9514,23500,58688.62,9100,21800,54300,70300,12900,27300,70200,93300
"Alabama State University",NA,32.364317,-86.295677,0.4639,0,8720,15656,7519,2611,9831,11446,12430,NA,NA,NA,NA,NA,570,NA,7940,32091,46065.2,4300,12200,31600,39800,7100,14800,40800,55400
"The University of Alabama",NA,33.2144,-87.545766,0.5359,0,10170,25950,17263,19279,21309,22594,23599,NA,NA,NA,NA,NA,1282,NA,9710,23750,57928.41,9800,21900,48900,61600,13100,28000,64300,85000
"Central Alabama Community College",35010,32.924429,-85.94653,NA,0.044,4320,7770,5180,5721,7518,9093,9834,NA,NA,NA,NA,NA,312,NA,5671,9388,43985.14,4800,12600,35000,47500,7000,15400,41100,58800
"Athens State University",35611,34.805625,-86.96514,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7921,18534,50752.1,9900,19900,45400,61200,12600,24700,50600,74000
"Auburn University at Montgomery",NA,32.369939,-86.177351,0.7871,0,9350,20210,12857,14215,15572,17266,16094,NA,NA,NA,NA,NA,409,NA,7588,22192.5,50723.81,8800,18200,41900,55900,9500,19700,49500,66300
"Auburn University",36849,32.604685,-85.482782,0.7766,0,10424,28040,17216,19189,22210,24383,25805,NA,NA,NA,NA,NA,1090,NA,9738,21500,59005.4,11800,24400,52700,67000,13800,31600,69200,91400
"Birmingham Southern College",35254,33.515453,-86.853636,0.5306,0,33128,33128,NA,NA,NA,NA,NA,18551,17803,20676,21980,24681,NA,180,7078,26850,64789.39,6300,18300,46500,58300,9800,26800,64100,77600
"Chattahoochee Valley Community College",36869,32.42391,-85.031485,NA,0.0354,4380,7830,876,854,2891,4944,5620,NA,NA,NA,NA,NA,242,NA,5906,9389.5,46908.55,4900,12900,32300,46400,5500,14700,39900,58700
"Concordia College Alabama",36701,32.42443,-87.023531,0.4034,0,10320,10320,NA,NA,NA,NA,NA,21197,22616,23323,26486,NA,NA,176,5605,36870,38220.7,2300,10500,29700,36600,5400,13200,35600,44500
"South University-Montgomery",36116,32.342684,-86.216488,NA,0,16761,16761,NA,NA,NA,NA,NA,20558,22448,23408,27628,NA,NA,31,4446,25000,55764.27,7600,15200,47800,74600,7100,16000,49200,67200
"Enterprise State Community College",NA,31.297496,-85.836956,NA,0,4320,7770,3549,4609,5786,8075,8596,NA,NA,NA,NA,NA,226,NA,6300,7155,44274,5200,13600,44800,67000,5700,15200,47300,58700
"James H Faulkner State Community College",NA,30.852045,-87.779758,NA,0.0019,4320,7770,5343,6341,8563,9749,9593,NA,NA,NA,NA,NA,730,NA,5988,11000,52162.04,4400,13200,36500,50200,5100,15500,43700,59500
"Faulkner University",NA,32.384181,-86.21641,0.573,0,19280,19280,NA,NA,NA,NA,NA,23712,25216,24682,23567,21981,NA,360,5973,21750,52330.99,8200,18100,46300,63600,9800,20800,55600,80700
"Gadsden State Community College",35903,33.991866,-85.991299,NA,0.1783,3216,5976,3602,3994,5751,NA,NA,NA,NA,NA,NA,NA,702,NA,6046,NA,43919.51,3900,11100,31700,46200,5600,14500,39900,58300
"New Beginning College of Cosmetology",35951,34.27871,-86.196931,NA,0,NA,NA,NA,NA,NA,NA,NA,9375,9410,10585,NA,NA,NA,59,NA,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George C Wallace State Community College-Dothan",NA,31.316086,-85.46355,NA,0.079,4260,7710,2828,3522,4690,NA,NA,NA,NA,NA,NA,NA,571,NA,5665,NA,43000.16,5300,11600,32200,46300,7100,13500,39400,64200
"George C Wallace State Community College-Hanceville",NA,34.07341,-86.781745,NA,0.0437,4320,7770,6585,6095,9296,11065,11169,NA,NA,NA,NA,NA,678,NA,5959,11000,47769.34,4800,15000,38100,52000,4900,15600,45400,57100
"George C Wallace State Community College-Selma",NA,32.445611,-87.01324,NA,0.0126,4020,7470,7624,9004,12215,NA,NA,NA,NA,NA,NA,NA,339,NA,5232,NA,35579.05,4300,10900,31800,46000,6100,13200,38600,57100
"Herzing University-Birmingham",35209,33.468105,-86.832299,0.9541,0.0506,13090,13090,NA,NA,NA,NA,NA,23060,21695,25307,26546,NA,NA,27,5206,23713.5,46871.43,7200,15500,41500,58300,12300,23600,55400,77200
"Huntingdon College",NA,32.350939,-86.285313,0.5769,0,25050,25050,NA,NA,NA,NA,NA,16621,17760,19988,21948,22932,NA,167,5911,26477.5,54037.99,12200,18300,41600,54500,9100,23400,52200,73200
"Heritage Christian University",NA,34.859089,-87.662062,0.7,0,9792,9792,NA,NA,NA,NA,NA,11464,10925,NA,NA,NA,NA,2,3439,NA,51048.04,NA,NA,NA,NA,NA,NA,NA,NA
"J F Drake State Community and Technical College",35811,34.772116,-86.573817,NA,0.1349,4290,7740,7068,7941,9540,NA,NA,NA,NA,NA,NA,NA,125,NA,5499,NA,52646.49,4900,9600,30300,42100,7000,11300,36300,49500
"Jacksonville State University",36265,33.822128,-85.766644,0.6665,0.0264,7500,14700,14696,16376,18923,19997,20030,NA,NA,NA,NA,NA,788,NA,6795,23250,48389.27,7000,16800,38600,53800,9000,20200,47100,64200
"Jefferson Davis Community College",36426,31.101995,-87.085829,NA,0.0565,4028,7478,3602,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,5724,NA,40521.77,4900,13500,37000,50900,6500,13100,42500,58600
